"ID ","COMPONENT                                                    ","FIPS   ","REGION                     ","CODE   ","INDUSTRY                   ","    1977","    1978","    1979","    1980","    1981","    1982","    1983","    1984","    1985","    1986","    1987","    1988","    1989","    1990","    1991","    1992","    1993","    1994","    1995","    1996","    1997"
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","50000  "," Manufacturing             ",      6607,      7746,      8639,      8859,      9848,      9515,     10946,     11896,     12562,     13003,     14899,     16557,     16434,     16662,     16721,     18186,     18385,     19765,     21810,     21637,     22188
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","51000  ","  Durable goods            ",      3151,      3973,      4479,      4466,      4958,      4512,      5110,      5895,      6290,      6258,      7495,      8504,      7750,      8206,      8098,      8862,      8985,      9929,     10412,     11005,     11540
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","51240  ","   Lumber & wood           ",       516,       646,       740,       665,       615,       594,       768,       932,       941,       920,      1142,      1199,      1124,      1087,      1070,      1276,      1442,      1705,      1863,      1925,      1873
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","51250  ","   Furniture and fixtures  ",        87,       113,       111,       132,       154,       161,       184,       228,       256,       269,       284,       290,       304,       313,       317,       395,       417,       489,       480,       496,       479
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","51320  ","   Stone, clay, glass      ",       197,       264,       273,       263,       254,       218,       246,       319,       330,       376,       366,       383,       292,       387,       400,       372,       386,       519,       606,       617,       734
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","51330  ","   Primary metals          ",       937,      1284,      1370,      1302,      1409,       971,       775,       932,      1021,       994,      1233,      1516,      1258,      1502,      1304,      1520,      1531,      1848,      1812,      2085,      2287
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","51340  ","   Fabricated metals       ",       494,       540,       620,       641,       708,       670,       721,       821,       800,       767,       837,       911,       995,      1093,      1067,      1038,      1012,      1109,      1275,      1275,      1438
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","51350  ","   Industrial machinery    ",       243,       251,       308,       359,       432,       430,       559,       691,       846,       891,      1063,      1388,      1096,      1105,      1190,      1245,      1187,      1197,      1153,      1322,      1410
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","51360  ","   Electronic equipment    ",       250,       346,       426,       471,       576,       611,       886,       889,       920,       850,      1310,      1365,      1105,      1008,       923,      1047,       980,       984,      1161,      1132,      1218
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","51371  ","   Motor vehicles          ",       134,       174,       198,       165,       242,       231,       319,       288,       385,       404,       401,       494,       521,       497,       581,       738,       811,       961,       987,      1117,      1140
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","51379  ","   Other transport. equip. ",       163,       224,       300,       312,       378,       438,       434,       526,       549,       583,       619,       663,       713,       822,       893,       872,       875,       806,       728,       711,       618
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","51380  ","   Instruments and related ",        72,        70,        65,        69,        85,        86,        93,        97,        79,        71,       105,       113,       114,       129,       128,       160,       149,       112,       121,       132,       134
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","51390  ","   Misc. manufacturing     ",        58,        61,        69,        88,       105,       103,       127,       170,       163,       134,       135,       183,       227,       263,       224,       200,       195,       200,       226,       193,       209
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","52000  ","  Nondurable goods         ",      3456,      3773,      4161,      4394,      4890,      5003,      5835,      6001,      6272,      6745,      7404,      8053,      8684,      8456,      8623,      9324,      9400,      9836,     11398,     10632,     10648
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","52200  ","   Food & kindred products ",       356,       432,       443,       499,       526,       551,       608,       596,       632,       698,       657,       736,       803,       863,       926,       987,       903,       957,      1203,       930,       950
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","52210  ","   Tobacco products        ",        20,        21,        19,        21,        21,        19,        11,        11,        10,        12,        17,        16,        16,        18,        19,        13,        13,        14,        19,        22,        27
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","52220  ","   Textile mill products   ",       615,       697,       733,       766,       806,       775,       927,       939,      1008,      1055,      1229,      1291,      1343,      1295,      1347,      1641,      1621,      1432,      1483,      1606,      1698
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","52230  ","   Apparel & textile       ",       453,       529,       544,       592,       645,       662,       800,       736,       799,       868,       882,       876,      1014,      1081,      1053,      1190,      1220,      1155,      1210,      1110,      1072
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","52260  ","   Paper products          ",       733,       762,       900,       973,      1147,      1303,      1520,      1602,      1469,      1565,      1976,      2352,      2519,      2275,      2041,      2163,      2116,      2325,      3526,      2717,      2598
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","52270  ","   Printing & publishing   ",       197,       225,       252,       254,       281,       296,       303,       372,       398,       496,       512,       533,       525,       504,       534,       641,       636,       748,       728,       839,       871
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","52280  ","   Chemicals               ",       547,       565,       611,       622,       685,       612,       769,       854,       888,       925,      1116,      1163,      1239,      1294,      1524,      1455,      1602,      1934,      2046,      2150,      2074
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","52290  ","   Petroleum products      ",        46,        57,       135,       116,       113,        96,        99,       111,       233,       268,       258,       259,       269,       295,       286,       337,       347,       388,       340,       319,       344
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","52300  ","   Rubber & plastics       ",       479,       474,       520,       547,       662,       686,       794,       776,       833,       857,       755,       823,       954,       829,       893,       894,       939,       882,       840,       937,      1010
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","52310  ","   Leather products        ",        13,        12,         5,         4,         4,         3,         3,         3,         2,         2,         3,         3,         2,         2,         2,         2,         2,         3,         4,         2,         3
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","60000  "," Transportation & utilities",      2562,      2935,      3122,      3462,      3969,      4411,      4925,      5346,      5509,      5580,      6082,      6809,      6991,      7320,      7991,      7825,      8154,      8526,      9043,      9171,      9124
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","62000  ","  Transportation           ",       807,       913,       998,      1066,      1161,      1165,      1290,      1488,      1565,      1640,      1696,      1911,      1881,      1931,      2166,      2214,      2355,      2596,      2697,      2819,      2936
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","62400  ","   Railroad transportation ",       193,       211,       228,       253,       276,       264,       304,       337,       340,       354,       360,       410,       307,       332,       472,       436,       411,       460,       418,       412,       387
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","62410  ","   Local & interurban      ",        21,        23,        24,        26,        27,        28,        29,        34,        35,        37,        35,        39,        43,        49,        50,        56,        59,        64,        74,        84,        98
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","62420  ","   Trucking and warehousing",       421,       482,       530,       565,       599,       611,       669,       803,       856,       930,       943,      1036,      1088,      1124,      1179,      1259,      1373,      1518,      1585,      1644,      1736
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","62440  ","   Water transportation    ",        70,        81,        99,       105,       121,       108,       110,       114,       128,       122,       115,       125,       123,       113,       123,       106,       109,       115,       126,       141,       139
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","62450  ","   Transportation by air   ",        38,        47,        47,        46,        48,        46,        55,        73,        74,        75,       111,       178,       178,       183,       192,       211,       250,       282,       305,       320,       349
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","62460  ","   Pipelines, ex. nat. gas ",        42,        42,        42,        44,        51,        71,        85,        84,        77,        66,        72,        52,        62,        47,        62,        53,        53,        49,        63,        79,        77
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","62470  ","   Transportation services ",        22,        28,        26,        28,        37,        38,        38,        43,        54,        56,        61,        71,        79,        84,        87,        92,        99,       109,       125,       139,       150
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","64000  ","  Communications           ",       847,       969,      1067,      1168,      1340,      1495,      1689,      1681,      1696,      1721,      1997,      2315,      2329,      2463,      2663,      2649,      2769,      2943,      2996,      3072,      2986
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","66000  ","  Electric, gas, & sanitary",       908,      1053,      1057,      1228,      1468,      1752,      1945,      2177,      2248,      2219,      2389,      2583,      2781,      2926,      3162,      2962,      3030,      2986,      3350,      3280,      3201
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","70000  "," Wholesale trade           ",      1816,      2017,      2226,      2346,      2543,      2566,      2736,      3113,      3355,      3437,      3475,      3856,      4112,      4262,      4506,      4760,      5116,      5726,      6074,      6453,      6719
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","80000  "," Retail trade              ",      2643,      2930,      3184,      3280,      3546,      3722,      4195,      4838,      5306,      5686,      5874,      6155,      6435,      6664,      7011,      7504,      8141,      8696,      9140,      9784,     10227
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","90000  "," F.I.R.E.                  ",      2939,      3334,      3775,      4189,      4793,      4942,      5387,      5760,      6324,      6750,      6966,      7157,      7378,      7733,      8417,      9332,      9849,     10102,     10866,     11580,     12822
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","90600  ","  Depository institutions  ",       509,       553,       626,       683,       762,       821,       874,       943,      1017,      1164,      1394,      1383,      1423,      1481,      1825,      2129,      2211,      2073,      2302,      2592,      3236
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","90610  ","  Nondepository institution",        87,       114,       119,        91,       171,        65,       138,       157,       226,       264,       195,       226,       214,       209,       187,       199,       226,       250,       248,       253,       299
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","90620  ","  Security brokers         ",        17,        23,        22,        30,        34,        42,        75,        70,        88,       101,       126,       111,       128,       118,       127,       146,       195,       210,       228,       286,       330
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","90630  ","  Insurance carriers       ",       301,       350,       379,       404,       431,       474,       486,       549,       581,       611,       610,       674,       719,       778,       827,       961,       970,      1016,      1030,      1040,      1115
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","90640  ","  Insurance agents         ",       111,       122,       131,       147,       155,       160,       167,       199,       224,       265,       323,       354,       354,       390,       387,       387,       430,       443,       473,       530,       561
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","90650  ","  Real estate              ",      1893,      2149,      2461,      2784,      3085,      3234,      3462,      3632,      3930,      4095,      4081,      4276,      4401,      4575,      4896,      5328,      5605,      5961,      6405,      6709,      7080
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","90670  ","  Holding and investment   ",        21,        25,        38,        50,       155,       146,       184,       210,       259,       250,       235,       133,       138,       181,       168,       180,       213,       150,       180,       171,       201
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","100000 "," Services                  ",      2637,      3099,      3410,      3818,      4296,      4710,      5163,      5785,      6425,      7201,      8135,      8745,      9627,     10653,     11462,     12786,     13535,     14140,     15133,     15951,     17087
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","100700 ","  Hotels & lodging         ",       106,       127,       139,       146,       160,       163,       167,       184,       206,       222,       237,       238,       243,       262,       266,       278,       300,       299,       326,       355,       377
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","100720 ","  Personal services        ",       170,       193,       203,       215,       220,       226,       242,       272,       306,       335,       345,       410,       437,       475,       480,       512,       547,       570,       583,       592,       624
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","100730 ","  Business services        ",       306,       375,       424,       477,       558,       659,       710,       831,      1088,      1368,      1168,      1209,      1373,      1532,      1619,      1882,      1953,      2164,      2296,      2545,      2984
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","100750 ","  Auto repair & parking    ",       199,       243,       260,       267,       285,       290,       333,       391,       463,       487,       501,       545,       549,       619,       613,       635,       690,       748,       828,       880,       905
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","100760 ","  Misc. repair services    ",        76,        96,        97,       112,       118,       116,       117,       147,       141,       158,       162,       192,       216,       257,       252,       280,       302,       303,       314,       337,       359
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","100780 ","  Motion pictures          ",        11,        15,        13,        13,        12,        14,        16,        14,        15,        16,        30,        45,        62,        62,        65,        66,        77,        65,        72,        69,        70
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","100790 ","  Amusement and recreation ",        52,        61,        66,        72,        79,        85,        95,       101,       126,       121,       147,       154,       188,       212,       236,       279,       277,       265,       279,       267,       305
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","100800 ","  Health services          ",       844,       988,      1131,      1318,      1524,      1729,      1882,      2014,      2125,      2308,      2708,      2991,      3294,      3802,      4248,      4700,      4988,      5250,      5604,      5902,      6194
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","100810 ","  Legal services           ",       151,       176,       199,       234,       254,       293,       326,       394,       442,       520,       576,       671,       723,       750,       841,       956,       982,      1061,      1114,      1242,      1258
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","100820 ","  Educational services     ",        92,       100,       113,       127,       139,       150,       163,       182,       194,       199,       223,       234,       249,       253,       276,       291,       301,       326,       342,       358,       364
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","100830 ","  Social services          ",        69,        82,        91,       100,       108,       103,       118,       134,       144,       156,       166,       178,       202,       214,       243,       272,       300,       328,       356,       389,       430
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","100860 ","  Membership organizations ",       160,       174,       187,       202,       228,       244,       260,       291,       286,       338,       355,       390,       430,       454,       504,       527,       576,       618,       673,       714,       767
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","100840 ","  Other services           ",       268,       324,       349,       406,       483,       515,       616,       700,       764,       844,      1395,      1362,      1529,      1628,      1688,      1968,      2095,      1993,      2188,      2144,      2296
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","100880 ","  Private households       ",       134,       144,       138,       131,       126,       122,       118,       131,       127,       128,       123,       128,       133,       134,       129,       141,       147,       150,       158,       157,       155
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","110000 "," Government                ",      4581,      5100,      5658,      6439,      6969,      7460,      8025,      8619,      9629,      9903,     10520,     11122,     11594,     12167,     13400,     14292,     14225,     15000,     15296,     15663,     16158
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","111000 ","  Federal civilian         ",      1500,      1618,      1789,      2082,      2240,      2398,      2551,      2730,      2985,      3009,      3303,      3468,      3441,      3356,      4027,      4294,      4139,      4304,      4201,      4126,      4178
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","112000 ","  Federal military         ",       563,       579,       645,       782,       905,       998,      1081,      1292,      1359,      1391,      1448,      1479,      1462,      1467,      1502,      1659,      1642,      1581,      1548,      1589,      1566
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","113000 ","  State and local          ",      2518,      2903,      3225,      3575,      3824,      4064,      4393,      4598,      5285,      5503,      5769,      6175,      6691,      7343,      7872,      8340,      8444,      9114,      9546,      9948,     10413
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","51999  ","Electronic equip. + Instr. ",       322,       417,       491,       540,       661,       698,       979,       986,       998,       921,      1415,      1478,      1219,      1137,      1052,      1207,      1129,      1095,      1283,      1264,      1351
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","90999  ","Depository + Nondepository ",       596,       666,       744,       774,       932,       886,      1012,      1100,      1242,      1428,      1589,      1609,      1637,      1690,      2012,      2328,      2437,      2323,      2550,      2845,      3535
"200","Gross State Product (millions of current dollars)            ","01     ","Alabama                    ","100999 ","Business serv. + Other serv",       574,       698,       773,       882,      1041,      1174,      1326,      1531,      1852,      2212,      2563,      2570,      2902,      3159,      3308,      3849,      4048,      4157,      4484,      4689,      5280
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","0      ","  Total Gross State Product",      7492,      9088,     10863,     15138,     21665,     23348,     22548,     23829,     26219,     18849,     22258,     21307,     23357,     24987,     22164,     22591,     22965,     23110,     24805,     26083,     26884
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","5000   ","Private industries         ",      5866,      7317,      8925,     12987,     19220,     20584,     19580,     20560,     22728,     15275,     18694,     17638,     19418,     20799,     17678,     17781,     17991,     18205,     19934,     21136,     21909
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","10000  "," Agriculture, forest., fish",        96,       161,       206,       230,       144,       124,       241,       180,       474,       584,       381,       667,       554,       543,       430,       406,       399,       389,       409,       389,       390
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","10010  ","  Farms                    ",         6,         7,         6,         7,         6,         9,        11,        13,        13,        17,        19,        19,        15,        16,        16,        16,        17,        21,        19,        23,        25
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","20070  ","  Agricultural services,...",        90,       154,       200,       223,       137,       116,       230,       167,       461,       567,       363,       649,       540,       527,       414,       390,       382,       369,       390,       366,       365
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","30000  "," Mining                    ",       847,      1635,      2255,      5966,     10830,     10500,      8386,      8815,     10612,      4392,      8036,      7191,      7930,      8808,      5769,      5550,      5017,      4588,      5737,      7313,      7549
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","30100  ","  Metal mining             ",         3,         3,         4,        10,        11,        10,        12,         6,        15,        18,        55,        50,       103,       296,       229,       199,       134,       213,       259,       278,       540
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","30120  ","  Coal mining              ",         9,        11,        10,        10,        11,        14,        15,        17,        18,        22,        23,        22,        20,        21,        18,        20,        22,        22,        25,        24,        24
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","30130  ","  Oil & gas                ",       831,      1616,      2234,      5939,     10801,     10469,      8352,      8785,     10572,      4345,      7948,      7113,      7799,      8483,      5514,      5321,      4849,      4336,      5432,      6984,      6961
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","30140  ","  Nonmetalic minerals      ",         5,         5,         7,         7,         7,         6,         7,         7,         6,         7,         9,         7,         9,         8,         7,        10,        11,        17,        21,        27,        23
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","40000  "," Construction              ",      1344,       791,       686,       819,      1076,      1433,      1702,      1639,      1407,      1059,       751,       677,       732,       766,       768,       778,       889,      1000,      1047,      1045,      1106
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","50000  "," Manufacturing             ",       367,       442,       519,       563,       533,       476,       485,       490,       516,       484,       762,       935,      1062,      1169,      1172,      1121,      1213,      1058,      1215,      1055,      1091
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","51000  ","  Durable goods            ",       105,       105,       140,       159,       134,       140,       132,       122,       138,       147,       253,       327,       429,       407,       329,       305,       328,       309,       323,       254,       259
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","51240  ","   Lumber & wood           ",        79,        69,        89,       104,        82,        80,        70,        58,        86,       106,       216,       287,       383,       359,       279,       258,       280,       254,       254,       170,       176
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","51250  ","   Furniture and fixtures  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ",         1,         1,         1,         2,         2,         1,         1,         1,         1,         1,         2,         2,         2,         3,         3,         3,         4
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","51320  ","   Stone, clay, glass      ",        11,        14,        14,        16,        28,        30,        36,        39,        26,        22,        18,        16,        16,        18,        18,        17,        18,        20,        20,        19,        21
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","51330  ","   Primary metals          ",         1,         1,         2,         2,         3,         4,         2,         2,         1,         1,         1,         1,         2,         1,         1,         3,         2,         3,         3,        13,        11
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","51340  ","   Fabricated metals       ",         6,         7,         6,         8,        11,        12,        10,        10,         9,         7,         7,         7,         7,         7,         6,         6,         6,         6,        15,        16,        12
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","51350  ","   Industrial machinery    ",         3,        10,        23,        23,         4,         4,         4,         4,         6,         4,         3,         2,         4,         4,         6,         6,         6,         7,         8,        12,        10
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","51360  ","   Electronic equipment    ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ",         1,         1,         1,"   (L)  ","   (L)  ",         1,         1,         1,         3,         2,         1,         1,         1,         1,         1,         1
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","51371  ","   Motor vehicles          ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ",         0,"   (L)  ","   (L)  ","   (L)  ",         1,"   (L)  ","   (L)  ","   (L)  ","   (L)  ",         1,         1
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","51379  ","   Other transport. equip. ",         1,         1,         2,         2,         2,         3,         3,         3,         4,         3,         4,         7,        10,        10,        11,         8,         8,         9,        10,        12,        14
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","51380  ","   Instruments and related ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ",         1,         1,         2,         1,         1,         2,         3,         3,         3,         4,         4,         5
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","51390  ","   Misc. manufacturing     ",         2,         2,         3,         3,         4,         5,         5,         4,         4,         3,         3,         3,         3,         3,         2,         2,         2,         4,         4,         4,         4
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","52000  ","  Nondurable goods         ",       262,       337,       380,       404,       399,       335,       353,       369,       377,       337,       509,       608,       633,       762,       843,       816,       885,       749,       892,       801,       832
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","52200  ","   Food & kindred products ",       162,       204,       215,       217,       202,       169,       174,       192,       208,       162,       242,       291,       288,       402,       466,       420,       450,       364,       522,       426,       398
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","52210  ","   Tobacco products        ","   (L)  ","   (L)  ",         0,         0,"   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  "
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","52220  ","   Textile mill products   ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ",         1,         1,         1,         1,         1,         1,"   (L)  ",         1,"   (L)  ",         1
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","52230  ","   Apparel & textile       ",         1,         1,         2,         1,         1,         2,         2,         1,         1,         1,         1,         2,         2,         2,         2,         2,         3,         2,         2,         2,         2
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","52260  ","   Paper products          ",        46,        47,        50,        56,        53,        45,        47,        37,        31,        37,        52,        71,        87,        81,        79,        86,        82,        50,        54,        51,        41
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","52270  ","   Printing & publishing   ",        18,        31,        34,        33,        36,        40,        41,        41,        43,        42,        46,        42,        46,        50,        56,        61,        58,        67,        47,        46,        49
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","52280  ","   Chemicals               ",        20,        26,        27,        28,        33,        34,        32,        30,        30,        26,        34,        37,        46,        45,        56,        55,        59,        69,        77,        77,        84
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","52290  ","   Petroleum products      ",        14,        26,        51,        67,        72,        44,        56,        65,        62,        67,       131,       163,       161,       177,       180,       188,       230,       194,       186,       196,       254
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","52300  ","   Rubber & plastics       ",         2,         1,         1,         1,         1,         2,         2,         2,         2,         2,         1,         2,         2,         3,         2,         2,         2,         2,         2,         2,         3
"200","Gross State Product (millions of current dollars)            ","02     ","Alaska                     ","52310  ","   Leather products        ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  ",         1,         1,         1,"   (L)  ","   (L)  ","   (L)  ","   (L)  ","   (L)  "
